Time: 2024-12-19 16:07:52.746314 	                 Trial: 25 	                 Objective value: 25.0152188474 	                 Parameters: {'F2': '97489.7189257157', 'F4': '67851.1719601837', 'F6': '53981.0972625111', 'Zeta': '2378.4656016934', 'Alpha': '17.2119096533', 'Beta': '-543.1044150906', 'T3': '41.1930119448', 'T4': '77.5457857408', 'T6': '-226.8146643122', 'T7': '283.7173198630', 'T8': '309.3091733417', 'M0': '3.0799471668', 'P2': '563.6895475308', 'B02': '-252.9341354846', 'B04': '487.7492335008', 'B06': '385.2548918117', 'B22': '-93.7510254347', 'B24': '305.1575585196', 'B44': '467.4237092110', 'B26': '-479.1535991901', 'B46': '-257.5395605385', 'B66': '-595.9052485983'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:52.901063 	                 Trial: 26 	                 Objective value: 29.7159110876 	                 Parameters: {'F2': '97467.4278000395', 'F4': '67854.4786559136', 'F6': '53976.8964873652', 'Zeta': '2376.6625299345', 'Alpha': '17.8914140517', 'Beta': '-541.9852437597', 'T3': '40.0320508045', 'T4': '77.7676236265', 'T6': '-258.9628018300', 'T7': '282.5768954977', 'T8': '252.6671529833', 'M0': '3.0852883553', 'P2': '563.4796859662', 'B02': '-252.7839115598', 'B04': '470.6199633581', 'B06': '387.9061491003', 'B22': '-82.3445546237', 'B24': '289.6018682782', 'B44': '491.3608190561', 'B26': '-483.1669665877', 'B46': '-239.2703281589', 'B66': '-599.4755250460'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:53.061560 	                 Trial: 27 	                 Objective value: 30.6306928344 	                 Parameters: {'F2': '97491.5920990717', 'F4': '67861.4117298254', 'F6': '54003.5351100911', 'Zeta': '2375.0061103912', 'Alpha': '16.4013107051', 'Beta': '-557.7030242740', 'T3': '40.9502693325', 'T4': '75.9508794918', 'T6': '-212.5426345771', 'T7': '282.6982133018', 'T8': '328.2819211732', 'M0': '3.1239044012', 'P2': '567.7080974747', 'B02': '-221.5660653864', 'B04': '486.3803247930', 'B06': '382.8734221935', 'B22': '-94.0999006036', 'B24': '324.8957928837', 'B44': '472.7855559980', 'B26': '-462.4602052402', 'B46': '-258.8948727898', 'B66': '-588.2418655760'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:53.225169 	                 Trial: 28 	                 Objective value: 29.3068368003 	                 Parameters: {'F2': '97476.9479849033', 'F4': '67890.1913651179', 'F6': '53978.0747541174', 'Zeta': '2379.3280380147', 'Alpha': '17.2537282657', 'Beta': '-546.8380621260', 'T3': '42.3579120719', 'T4': '79.9360334118', 'T6': '-230.8546245342', 'T7': '261.0197801034', 'T8': '310.6964133922', 'M0': '3.2276077172', 'P2': '561.6732349311', 'B02': '-211.6429927039', 'B04': '473.4156080952', 'B06': '387.5981812920', 'B22': '-86.5719474769', 'B24': '307.2448410819', 'B44': '452.8154905716', 'B26': '-489.5944240911', 'B46': '-272.6034820632', 'B66': '-590.1260225712'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:53.408889 	                 Trial: 29 	                 Objective value: 28.4929032848 	                 Parameters: {'F2': '97499.8689036555', 'F4': '67851.6102634301', 'F6': '54007.0101926893', 'Zeta': '2378.2791526291', 'Alpha': '17.9364157987', 'Beta': '-540.6676972033', 'T3': '48.9940462679', 'T4': '77.4520567417', 'T6': '-247.0847544775', 'T7': '286.8772675859', 'T8': '323.0023193422', 'M0': '3.0758138898', 'P2': '576.9268143656', 'B02': '-246.6394546978', 'B04': '499.5054006779', 'B06': '376.5574150183', 'B22': '-94.9782111445', 'B24': '334.7551199311', 'B44': '498.7692476536', 'B26': '-452.9520558113', 'B46': '-218.9211717066', 'B66': '-599.5681223979'} 	                 Best trial: 16 	                 Best objective value: 24.1973007582 
Time: 2024-12-19 16:07:53.568097 	                 Trial: 30 	                 Objective value: 23.1866348696 	                 Parameters: {'F2': '97489.3777748344', 'F4': '67876.6802968272', 'F6': '53988.8074344663', 'Zeta': '2376.7292979674', 'Alpha': '17.6175121199', 'Beta': '-558.3246774703', 'T3': '43.4611423315', 'T4': '79.0695588181', 'T6': '-237.4972525368', 'T7': '302.0543517825', 'T8': '282.6251985947', 'M0': '3.3993644256', 'P2': '606.3359855603', 'B02': '-232.8708531756', 'B04': '456.6304013029', 'B06': '352.8955457864', 'B22': '-80.9321083945', 'B24': '290.4400526022', 'B44': '485.7373530438', 'B26': '-505.1742222873', 'B46': '-234.3023510186', 'B66': '-582.3252681842'} 	                 Best trial: 30 	                 Best objective value: 23.1866348696 
Time: 2024-12-19 16:07:53.734834 	                 Trial: 31 	                 Objective value: 22.3809902860 	                 Parameters: {'F2': '97490.3437810813', 'F4': '67876.2120277844', 'F6': '53987.8314159959', 'Zeta': '2376.5688057375', 'Alpha': '17.6251494064', 'Beta': '-557.5207808494', 'T3': '43.8513442168', 'T4': '78.8042609009', 'T6': '-236.9103553089', 'T7': '304.7952886574', 'T8': '287.9926056608', 'M0': '3.5409869259', 'P2': '607.9106620767', 'B02': '-232.3258845671', 'B04': '455.8913848759', 'B06': '350.3649697545', 'B22': '-81.5404872978', 'B24': '288.7924167463', 'B44': '488.7273228733', 'B26': '-504.0140234060', 'B46': '-233.1827507116', 'B66': '-582.3981432366'} 	                 Best trial: 31 	                 Best objective value: 22.3809902860 
Time: 2024-12-19 16:07:53.887327 	                 Trial: 32 	                 Objective value: 28.4116637701 	                 Parameters: {'F2': '97492.1356267081', 'F4': '67882.3495239288', 'F6': '53990.5792581453', 'Zeta': '2375.3397991872', 'Alpha': '18.1809278373', 'Beta': '-557.1165551329', 'T3': '44.0188198025', 'T4': '78.8977692166', 'T6': '-233.0028963808', 'T7': '316.7597176293', 'T8': '269.0655288887', 'M0': '3.5838668875', 'P2': '604.9024235275', 'B02': '-245.7392066005', 'B04': '454.5528992310', 'B06': '350.0563145774', 'B22': '-80.0266514009', 'B24': '288.9234142438', 'B44': '485.9130806965', 'B26': '-501.2634775600', 'B46': '-233.2935984472', 'B66': '-572.9574434643'} 	                 Best trial: 31 	                 Best objective value: 22.3809902860 
Time: 2024-12-19 16:07:54.045698 	                 Trial: 33 	                 Objective value: 22.7841336218 	                 Parameters: {'F2': '97490.7885129637', 'F4': '67906.2948582839', 'F6': '53984.1401862536', 'Zeta': '2376.1921691313', 'Alpha': '17.7392252799', 'Beta': '-568.7092089283', 'T3': '45.5682318637', 'T4': '79.9819958568', 'T6': '-240.1869251778', 'T7': '302.5543388846', 'T8': '286.0543943813', 'M0': '3.4888155436', 'P2': '604.3317913610', 'B02': '-233.7010585335', 'B04': '434.1918467619', 'B06': '357.0960552741', 'B22': '-71.9184321451', 'B24': '272.3419126009', 'B44': '485.2188526672', 'B26': '-505.9456012140', 'B46': '-215.2109034410', 'B66': '-584.8614411673'} 	                 Best trial: 31 	                 Best objective value: 22.3809902860 
Time: 2024-12-19 16:07:54.201321 	                 Trial: 34 	                 Objective value: 27.8366821392 	                 Parameters: {'F2': '97416.8995967054', 'F4': '67911.1958504058', 'F6': '54010.2350457061', 'Zeta': '2376.4489867505', 'Alpha': '17.7463268669', 'Beta': '-565.4923112204', 'T3': '45.4677192554', 'T4': '79.8990472681', 'T6': '-239.1105111845', 'T7': '302.9041584187', 'T8': '287.2809452899', 'M0': '3.4578802793', 'P2': '603.7215939663', 'B02': '-231.5770743030', 'B04': '433.8436972118', 'B06': '342.8349287866', 'B22': '-71.9886720055', 'B24': '273.8762796922', 'B44': '498.2649560432', 'B26': '-509.3817837593', 'B46': '-214.8509648674', 'B66': '-585.3347522392'} 	                 Best trial: 31 	                 Best objective value: 22.3809902860 
